Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary
2007,Purulia district,India,23.332078,86.365208,Assassination,Violent Political Party,Party Official/Candidate/Other Personnel,Party Leader: Sufal Mandi,Firearms,Unknown Gun Type,Other,Unknown,"11/19/2007: A Communist Party of India-Marxist (CPI-M) leader, Sufal Mandi, was shot and killed in the Purulia district of Indiaﾒs West Bengal State. Authorities suspected that Maoist rebels were to blame for the incident."
2007,Lakhisarai district,India,25.182597,86.133829,Assassination,Transportation,Train/Train Tracks/Trolley,Jamui-Kiul route between Patna and Howrah,Explosives/Bombs/Dynamite,Unknown Explosive Type,Other,Unknown,"11/20/2007: Rail service was disrupted in the Lakhisarai district of Indiaﾒs Bihar State after an explosion destroyed a section of track in the area. No one claimed responsibility, but authorities believe that Maoist rebels are to blame."
2007,Kulgam,India,33.644991,75.018031,Assassination,Private Citizens & Property,Named Civilian,Manzoor Admad Wani,Firearms,Unknown Gun Type,Other,The man was killed on suspicions that he was a government informer.,"11/20/2007: A man named Manzoor Admad Wani was shot and killed by militants in Kulgam, a town in Indiaﾒs Jammu and Kashmir State. Wani was killed on suspicions that he was an informer. No group claimed responsibility for the killing."
2007,Lucknow,India,26.846694,80.946166,Assassination,Government (General),Judge/Attorney/Court,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,Other,Unknown,"11/24/2007: Three bomb attacks cumulatively killed at least 13 people and wounded at least another 60 in Indiaﾒs Uttar Pradesh State. All three bombings took place near courthouses, including this one in Lucknow that did not cause any casualties. No one claimed responsibility for the attacks, but police suspected that militants were using the bombings as an attempt to spark unrest between Indian Hindus and Muslims."
2007,Varanasi,India,25.317645,82.973914,Assassination,Government (General),Judge/Attorney/Court,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,Other,Unknown,"11/24/2007: Three bomb attacks cumulatively killed at least 13 people and wounded at least another 60 in Indiaﾒs Uttar Pradesh State. All three bombings took place near courthouses, including this one in Varanasi that killed 9 people and hurt at least 45. No one claimed responsibility for the attacks, but police suspected that militants were using the bombings as an attempt to spark unrest between Indian Hindus and Muslims."
2007,Faizabad,India,26.77,82.15,Assassination,Government (General),Judge/Attorney/Court,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,Other,Unknown,"11/24/2007: Three bomb attacks cumulatively killed at least 13 people and wounded at least another 60 in Indiaﾒs Uttar Pradesh State. All three bombings took place near courthouses, including this one in Faizabad that killed four and wounded at least 14. No one claimed responsibility for the attacks, but police suspected that militants were using the bombings as an attempt to spark unrest between Indian Hindus and Muslims."
2007,Mokokchung district,India,26.322036,94.513463,Assassination,Government (General),"Government Personnel (excluding police, military)",Governor S.C. Jamir,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"11/24/2007: A series of 5 explosions targeted the convoy of the governor of Indiaﾒs Goa State as it was traveling through the Mokokchung district of the countryﾒs Nagaland State. Governor S.C. Jamir escaped unharmed, but two security men sustained minor injuries in the blasts. No group claimed responsibility for the attack, but it occurred in an area that is a stronghold of the rebel National Socialist Council of Nagaland, a group bitterly opposed to the governor."
2007,Guwahati,India,26.179222,91.753346,Assassination,Private Citizens & Property,Unnamed Civilian/Unspecified,People in the area,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"11/25/2007: Umesh Shah, a tea stand owner, was killed when two bombs simultaneously exploded in Guwahati city in the Indian State of Assam. Three other people were also injured in the attack that no one claimed. The two bombs were situated across from one another on a street and were outfitted with timer devices."
2007,Bengpukhuri,India,27.491929,95.347833,Assassination,Private Citizens & Property,Race/Ethnicity Identified,Unknown,Explosives/Bombs/Dynamite,Vehicle,United Liberation Front of Assam (ULFA),Unknown,"11/25/2007: Three bombings cumulatively killed two people and injured 18 in Indiaﾒs Assam State, including this car bombing in the Bengpukhuri area of Tinsukia. No one claimed responsibility for the attacks, but police suspected that the United Liberation Front of Assam was to blame."
2007,Athgaon,India,26.254063,91.545925,Assassination,Private Citizens & Property,Race/Ethnicity Identified,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,United Liberation Front of Assam (ULFA),Unknown,"11/25/2007: Three bombings cumulatively killed two people and injured 18 in Indiaﾒs Assam State, including this one in the Athgaon area of Tinsukia. No one claimed responsibility for the attacks, but police suspected that the United Liberation Front of Assam was to blame."
