Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,,
2008,Pipra,India,24.462866,84.177802,Bombing or Explosion,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",The Pipra community building,Explosives/Bombs/Dynamite,Unknown Explosive Type,Maoists,The specific motive for the attack is unknown..,"07/03/2008: On Thursday, Communist Party of India (Maoist) / Naxalites blew up a community building in Pipra village, Palamau district, Jharkhand province, India.  No casualties were reported from the bombing attack and no claim of responsibility was made for either incident.",,
2008,Salbari,India,26.333108,90.502613,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,"The target was a surrendered National Democratic Front of Bodoland (NDFB) militant, Gopal Basumatary.",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/03/2008: On Thursday night, assailants fired upon and killed a  surrendered National Democratic Front of Bodoland (NDFB) militant, Gopal Basumatary at his residence in Baksa, Assam, India.  No group claimed responsibility.",,
2008,Senapati district,India,25.2727,94.0265,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,A zonal education officer of the NSCN-IM,Unknown,0,National Socialist Council of Nagaland-Khaplang (NSCN-K),The specific motive for the attack is unknown.,"07/03/2008: On Thursday in Senapati, Manipur, India, a National Socialist Council of Nagaland- Isak Muviah militant was abducted by National Socialist Council of Nagaland- Khaplang (NSCN-K) militants. A ransom note of INR 20,0000  ($4,400 USD) was sent to the victims family in the name of the NSCN-K group.",,
2008,Tentha,India,24.580167,93.971974,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,"The target was a former militant of the People's Revolutionary Party of Kangleipak (PREPAK), identified as Moirangthem Nodi.",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/04/2008: On Friday evening, at about 2030, in Tentha Khunou Palli, Thoubal, Manipur, India, assailants fired upon and killed a former militant of PREPAK, Moirangthem Nodi, after calling him out of his residence. No group claimed responsibility.",,
2008,East Champaran district,India,26.430833,85.140561,Bombing or Explosion,Government (General),"Government Personnel (excluding police, military)",A district government office,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),Police authorities claim the attack was carried out to create panic among local administrative officials and villagers.,"07/05/2008: On Saturday, suspected Communist Party of India (Maoist) / Naxalites blew up a district government office on Chitriya block in East Champaran district, Bihar province, India. Police authorities claim the attack was carried out to create panic among local administrative officials and villagers. No casualties were reported and no claim of responsibility was made for the incident.",,
2008,Baska district,India,26.662885,91.354721,Bombing or Explosion,Violent Political Party,Party Official/Candidate/Other Personnel,Member of Youth Wing: Subash Ramchiary,Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown..,"07/05/2008: On Saturday, at an unspecified time, in Baksa, Assam, India, unidentified militants killed a member of the youth wing of the Bodo Peopleﾒs Front (BPF). There were no other reported casualties. There were no claims of responsibility.",,
2008,Latehar district,India,23.744186,84.504429,Bombing or Explosion,Private Citizens & Property,Laborer (General)/Occupation Identified,Civilians suspected of being police informants,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/05/2008: On Saturday night, in Latehar, Jharkhand, India, assailants kidnapped two civilians suspected of being police informants. The Communist Party of India-Maoist (CPI-Maoist) claimed responsibility via pamphlet.",,
2008,Dimapur,India,25.906267,93.72759,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,"Two National Socialist Council of Nagaland- Khaplang (NSCN-K) militants, Khuzheto and Hokiye Yeptho",Unknown,0,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"07/09/2008: On Wednesday in Dimapur, Nagaland, India, two National Socialist Council of Nagaland-Khaplang (NSCN-K) militants were abducted and later killed by National Socialst Coucil of Nagland-Isak-Muivah (NSCN-IM) militants. It is unknown if this attack caused any property damage. NSCN-K sources claim three NSCN-IM militants were also killed in the clash.",,
2008,Handwara,India,34.397597,74.282506,Bombing or Explosion,Police,Police Security Forces/Officers,Head constable Mohammed Irfan and policeman Muzaffar Ahmad,Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown.,"07/10/2008: On Thursday in Handwara, Kupwara, Jammu and Kashmir, India,  two assailants threw a grenade at police during a party at the police station. The attack killed the Head constable and injured another police officer. No group claimed responsibility. The militants were also killed during a search operation later that day.",,
2008,Senapati,India,25.2727,94.0265,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,The attack targeted a Kuki Revolutionary Army militant.,Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/10/2008: On Thursday in Senapati, Manipur, India, a Kuki Revolutionary Army (KRA) militant was abducted and later killed by unknown assailants.",,
