Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,
2011,Palamu district,India,24.128611,84.185712,Facility-Infrastructure Attack,Terrorists/Non-State Militia,Terrorist,"A Tritiya Prastuti Committee member, Guddu Khan,",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The attack was reportedly carried out for his involvement with the Tritiya Prastuti Committee (TPC), a break-away faction of the Communist Party of India-Maoist (CPI-M).","07/16/2011: On Saturday night, in the Etko village in Palamau, Jharkhand, India, a member of the Tritiya Prastuti Committee (TPC), a break-away faction of the Communist Party of India-Maoist (CPI-M), was reportedly killed Maoists. The attackers dragged the victim, Guddu Khan, out of his house, shot and killed him. The attack was reportedly carried out for his involvement with the TPC. A hand written Maoist note left at the incident site claimed responsibility for the attack.",
2011,Koraput district,India,18.815236,82.712102,Facility-Infrastructure Attack,Military,"Military Personnel (soldiers, troops, officers, forces)",Military personnel,Explosives/Bombs/Dynamite,Land Mine,Communist Party of India - Maoist (CPI-Maoist),The landmines were contained in steel boxes along the patrol route knowing the military would be in the area.,"07/17/2011: On Sunday, in Koraput, Odisha, India, military personnel out on a patrol discovered six improvised landmines planted by Communist Party of India-Maoists (CPI-Maoists) militants. The landmines, three of which were claymores, were contained in steel boxes along the patrol route knowing the military would be in the area. Gelatin sticks were also found. As the landmines were safely defused the attempted attack resulted in no casualties or property damage. No group claimed responsibility.",
2011,Chawmanu,India,23.851597,91.993047,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Two Communist Party if India-Marxist (CPI-M) leaders,Unknown,0,National Liberation Front of Tripura (NLFT),The specific motive for the attack is unknown.,"07/19/2011: On Tuesday night, in East Chawmanu, Dhalai, Tripura, India, 11 militants of the National Liberation Front of Tripura (NLFT) abducted 12 tribal villagers, including two Communist Party if India-Marxist (CPI-M) leaders Arun Chakma and Ganja Chakma. Later four kidnapped villagers escaped. Police suspected that the militants took the villagers and traveled to Bangladesh to avoid the police. The militant Atharababu Halam was suspected of leading the militants who kidnapped the villagers. Biswamohan faction of National Liberation Front of Tripura (NLFT-BM) set a ransom notice of $22,300 USD (one million Indian rupees) for the release of eight tribal villagers on 07/20/2011. No casualties were reported. The status of the hostages is currently unknown.",
2011,Unknown,India,21.278657,81.866144,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,The targets of the attack were congress members.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/20/2011: On Wednesday evening, in Chhattisgarh, India, suspected Maoist rebels attacked a convoy of an approximately 25 vehicles with Congress Party workers. In the attack seven India Congress Party workers were killed and four were wounded. Some of the vehicles were blown up in the attack. No group claimed responsibility for the attack. The Communist Party of India (CPI) was suspected of being responsible for the attack.",
2011,Yadunathpur,India,25.069312,84.016467,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,The target of the arson was the house of Maheshwar Singh.,Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/21/2011: On Thursday night, in Yadunathpur village, Rohtas, Bihar, India, 12 suspected militants of the Communist Party of India-Maoist group (CPI-M) set fire to a house of Maheshwar Singh. No casualties were reported. No group claimed responsibility for the arson, but police suspected that the Communist Party of India-Maoist group (CPI-M) was responsible for the attack. Same night militants blew up a house of Singhﾒs brother, Gangeshwar Singh, a former head of village local self-government institution.",
2011,Yadunathpur,India,25.069312,84.016467,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,"Gangeshwar Singh, a former head of village local self-Government institution,",Explosives/Bombs/Dynamite,Dynamite/TNT,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/21/2011: On Thursday night, in Yadunathpur village, Rohtas, Bihar, India, 12 suspected militants of the Communist Party of India-Maoist group (CPI-M) used dynamite to blow up the house of Gangeshwar Singh, a former head of village local self-Government institution. Later that night militants set fire to a house of Singhﾒs brother, Maheshwar Singh. No casualties were reported and no group claimed responsibility, but police suspected that the CPI-M group was responsible.",
2011,Imphal,India,24.742293,93.981597,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,"The target of the armed assault was a house of M I Khan, a social worker and a former chairman of the People's United Liberation Front (PULF).",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/21/2011: On Thursday night, at Keirao market area, in Imphal, Manipur, India, unknown militants fired at the house of M I Khan, a social worker and a former chairman of the People's United Liberation Front (PULF). No casualties were reported. Damage was unknown. No group claimed responsibility for the attack.",
2011,Madded,India,18.776541,80.5369,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,A special police officer,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/22/2011: On Friday, in Madded village, Bijapur, Chhattisgarh, India, suspected militants of the Communist Party of India-Maoists group (CPI-M) killed a Special Police Officer (SPO). The Suspected militants attacked Subba Satyam with an axe. No group claimed responsibility for the attack, but the CPI-M was suspected.",
2011,Dantewada,India,18.9,81.35,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,"Laxman Markam, the brother of a former CPI-M militant,",Firearms,Handgun,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown, however Markam was brother of a former CPI-M militant.,"07/22/2011: On Friday, in Ganjinar village, Dantewada, Chhattisgarh, India, three suspected militants of the Communist Party of India-Maoist (CPI-M) group attacked and killed Laxman Markam, the brother of a former CPI-M militant. Markam was killed with a pistol. No group claimed responsibility, but police suspected that the CPI-M group was responsible."
2011,Imphal,India,24.817011,93.936844,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","The residence of Tera Khuraijam Leirak, a Manipur government official,",Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive for the attack is unknown; however, sources believe that extortion could be the reason for the attack.","07/22/2011: On Friday, in Imphal, Manipur, India, unidentified militants threw a grenade at the residence of Tera Khuraijam Leirak, a Manipur government official. The grenade failed to detonate, resulting in no casualties or damages. The specific motive for the attack is unknown; however, sources believe that extortion could be the reason for the attack. No group claimed responsibility.",
