Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,
2012,Koilibeda,India,19.963308,80.994045,Hostage Taking (Barricade Incident),Unknown,0,Unknown,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,"Specific motive is unknown; however, President Pranab Mukherjee was scheduled to visit the area the next day.","11/06/2012: A five-kilogram tiffin bomb was discovered near Koilibeda village, Chhattisgarh state, India. Police personnel removed the device without reported injuries. No group claimed responsibility for the incident.",
2012,Latehar district,India,23.755579,84.354205,Hostage Taking (Barricade Incident),Police,Police Security Forces/Officers,Officers,Explosives/Bombs/Dynamite,Other Explosive Type,Maoists,"Specific motive is unknown; however, authorities suspected that the devices were designed to harm security forces in the area.","11/08/2012: Security personnel discovered and defused three buried explosive devices in the Sonwar forest, Latehar district, Jharkhand state, India. The devices were targeting a police patrol. No group claimed responsibility; however, Maoists are believed to be involved.",
2012,Faraspal,India,18.939291,81.267797,Hostage Taking (Barricade Incident),Private Citizens & Property,Political Party Member/Rally,Convoy of Member: Mahendra Karma,Explosives/Bombs/Dynamite,Land Mine,Maoists,"Specific motive is unknown; however, Mahendra Karma had been targeted in the past for his anti-Maoist activities with the Salwa Judum movement.","11/08/2012: A landmine detonated targeting the convoy of a Congress leader near Faraspal village, Chhattisgarh state, India. Assailants opened fire on the convoy following the blast. Mahendra Karma, a congressperson, was unharmed; however, four people other people, including the driver and guards, were injured. Officials suspected that the Maoists are responsible for the attack; Mahendra Karma used to lead an anti-Maoist movement.",
2012,Williamnagar,India,25.508549,90.619114,Hostage Taking (Barricade Incident),Police,Police Security Forces/Officers,Sister of Superintendent Jerry F.K. Marak,Firearms,Unknown Gun Type,Garo National Liberation Army,"Garo National Liberation Army (GNLA) claimed responsibility for the incident, stating the events were in retaliation for a raid conducted on the GNLA commander-in-chief several days earlier.","11/09/2012: Gunmen opened fire on a civilian house in Williamnagar town, Meghalaya state, India. The house belonged to the mother of Jerry Marak, the police superintendent of East Garo Hills. No one was injured in the shooting; however, the house was damaged. This was one of two incidents at the same house that night; the shooting was followed by a failed bombing. Garo National Liberation Army (GNLA) claimed responsibility for both incidents, stating the events were in retaliation for a raid conducted on the GNLA commander-in-chief several days earlier.",
2012,Williamnagar,India,25.508549,90.619114,Hostage Taking (Barricade Incident),Police,Police Security Forces/Officers,Mother of Superintendent Jerry F.K. Marak,Explosives/Bombs/Dynamite,Land Mine,Garo National Liberation Army,"Garo National Liberation Army (GNLA) claimed responsibility for the incident, stating the events were in retaliation for a raid conducted on the GNLA commander-in-chief several days earlier.","11/09/2012: A landmine was found buried outside of a civilian house in Williamnagar town, Meghalaya state, India. The house belonged to the mother of Jerry Marak, the police superintendent of East Garo Hills. This was one of two incidents at the same house that day; assailants had opened fire on the house several hours earlier. Garo National Liberation Army (GNLA) claimed responsibility for both incidents, stating the events were in retaliation for a raid conducted on the GNLA commander-in-chief several days earlier.",
2012,Giridih,India,24.179793,86.306772,Hostage Taking (Barricade Incident),Police,Prison/Jail,Prisoner Escort Vehicle,Explosives/Bombs/Dynamite,Unknown Explosive Type,Maoists,"Specific motive is unknown; however, officials believe the attack was designed to aid in prisoner escape.","11/09/2012: Approximately 20 Maoists attacked a prison transport vehicle in Giridh town, Jharkhand state, India. Three police officers and one prisoner were killed in the attack and six police officers were injured; numerous other prisoners escaped, including at least seven Maoists. Officials believe that the attack was designed to aid in prisoner escape.",
2012,Imphal,India,24.806299,93.948197,Hostage Taking (Barricade Incident),Educational Institution,School/University/Educational Building,Building,Explosives/Bombs/Dynamite,Unknown Explosive Type,People's Revolutionary Party of Kangleipak (PREPAK),"Specific motive is unknown; however, People's Revolutionary Party of Kangleipak (PREPAK) state that the device was prematurely detonated and was intended for a different target.  Sources suggest the Assam Rifles were the intended target.","11/12/2012: A roadside bomb detonated near the entrance to Imphal College on the outskirts of Imphal city, Manipur state, India. One person was killed and another was injured in the blast. People's Revolutionary Party of Kangleipak (PREPAK) claimed responsibility for the incident and apologized to the citizenry, stating that the device had detonated prematurely and had targeted the wrong people.",
2012,Palnar,India,18.724824,81.407688,Hostage Taking (Barricade Incident),Educational Institution,School/University/Educational Building,School Truck,Incendiary,Arson/Fire,Maoists,The assailants stated that the groceries were for police camps and warned to driver not to transport supplies for police again.,"11/14/2012: Approximately 25 Maoists stopped a vehicle transporting groceries for school children in the Palnar area of Bacheli, Dantewada district, Chhattisgarh state, India. The assailants took the food and torched the truck, insisting that the groceries were destined for police camps. They released the driver and warned him not to transport supplies for the police again.",
2012,Nehru Park,India,34.09074,74.846053,Hostage Taking (Barricade Incident),Business,Retail/Grocery/Bakery,Liquor Store,Firearms,Handgun,Hizbul Mujahideen (HM),The assailant who claimed responsibility stated that the government was spreading immorality and undermining the Islamic nature of the country through the establishment of liquor stores.,"11/15/2012: Gunmen opened fire on employees at a liquor store in the government-owned Heemal Hotel near Dal Lake, Nehru Park, Jammu and Kashmir state, India. One salesperson was killed and four more were injured in the attack. Junaidul Islam, the assailant who claimed responsibility, stated that the government was spreading immorality and undermining the Islamic nature of the country through the establishment of liquor stores. He also claimed to be a member of Hizb Mujahideen, although the group denied his claim.",
2012,Bala,India,32.70373,74.855659,Hostage Taking (Kidnapping),Business,Retail/Grocery/Bakery,Wine Shop,Explosives/Bombs/Dynamite,Grenade,Unknown,"Specific motive is unknown; however, sources noted that rebels banned alcohol in the area in the 1990s and, since that time, liquor stores operate only in highly secured areas.  Liquor stores remain an area of contention for rebels in the region.","11/17/2012: An assailant threw a grenade at a liquor store in Bala area south of Jammu city, Jammu and Kashmir, India. One person was killed and five more were injured in the blast. No group claimed responsibility for the incident.",
2012,Sesaput,India,18.352486,81.953482,Hostage Taking (Kidnapping),Private Citizens & Property,Named Civilian,Civilian: Bheema Sesa,Firearms,Unknown Gun Type,Maoists,The assailants claimed the victim was a police informer.,"11/19/2012: Maoists shot and killed Bheema Sesa, a farmer, in Sesaput village, Odisha state, India. The assailants called Sesa out of his house and dragged him down to the village square, where they cut his throat and then shot him. The attackers claimed he was a police informer.",
2012,Tekda Motla,India,20.492954,80.540807,Hostage Taking (Kidnapping),Government (General),Politician or Political Party Movement/Meeting/Rally,Sarpanch: Narayan Shankar Sirangi,Firearms,Unknown Gun Type,Maoists,"Specific motive is unknown; however, sources suggested Sirangi was targeted for engaging in corrupt practices.","11/20/2012: Between 15 to 20 suspected Maoists attacked a village sarpanch or leader in Tekda Motla village, Maharashtra state, India. The assailants dragged Narayan Shankar Sirangi from his home to a public road and shot him before fleeing. Specific motive is unknown; however, sources suggest Sirangi was targeted for engaging in corrupt practices.",
2012,Dasmantpur,India,19.044766,82.919769,Hostage Taking (Kidnapping),Private Citizens & Property,Named Civilian,Civilian: Goura Chandra Dalai,Firearms,Handgun,Maoists,The assailants left posters and a letter with the body stating that the victim had been killed because he was a police informer.,"11/23/2012: Maoists shot and killed a village guard after dragging him out of a temple in Dasmantpur town, Odisha state, India. The assailants left posters and a letter with the body stating he was a police informer.",
2012,Rongrenggiri,India,25.541805,90.578986,Hostage Taking (Kidnapping),Government (General),Politician or Political Party Movement/Meeting/Rally,President: Deborah Marak,Firearms,Automatic Weapon,Unknown,The assailants informed the targeted politician that there would be no political organizing in the area.,"11/25/2012: Approximately ten armed assailants began shooting in the air at a public sports function in Rongrenggiri village, Meghalaya state, India. The function was attended by Deborah C. Marak, the president of Meghalaya Pradesh Congress Committee (MPCC); the assailants informed her that there would be no political organizing in the area. No one was injured in the incident. Officials believe that the attack was organized by an unnamed breakaway faction of the Achik National Volunteer Council (ANVC).",
2012,Usuruia,India,22.210076,85.247011,Hostage Taking (Kidnapping),Business,Construction,Construction Site,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The construction site was part of a government initiative to develop Maoist territories.,"11/26/2012: Approximately thirty Maoists attacked a construction site operated by a private company in Usuruia village, Jharkhand state, India. The assailants set six large construction vehicles on fire, destroying them; however, they left the company employees unharmed. The attackers belonged to the Communist Party of India - Maoist (CPI-M).",
2012,Bhamragarh,India,19.414501,80.590422,Hostage Taking (Kidnapping),Police,Police Patrol (including vehicles and convoys),Patrol,Firearms,Unknown Gun Type,Maoists,"Specific motive is unknown; however, sources suggested that the Maoists may have been attempting to demonstrate their continued strength following the surrender of one of their leaders.","11/27/2012: Maoists opened fire on a Central Reserve Police Force (CRPF) patrol near Bhamragarh, Gadchiroli district, Maharashtra state, India. The police returned fire, leading to a gunfight. There were no reported casualties.",
2012,Kanker,India,20.271944,81.493056,Hostage Taking (Kidnapping),Private Citizens & Property,Laborer (General)/Occupation Identified,Peon,Melee,Knife or Other Sharp Object,Maoists,"According to a pamphlet found at the scene of the attack, Maoists claimed responsibility for the incident, stating that they targeted the victim because he was a police informant.","12/07/2012: Assailants killed a ""peon"" laborer at a local school in Amapani area, Kanker district, Chhattisgarh state, India. According to a pamphlet found at the scene of the attack, Maoists claimed responsibility for the incident, stating that the victim was killed because he was a police informant.",
2012,Senapati,India,25.273914,94.020763,Hostage Taking (Kidnapping),Military,Military Unit/Patrol/Convoy,Convoy,Explosives/Bombs/Dynamite,Vehicle,Unknown,"The specific motive is unknown; however, sources noted that the attack occurred one day prior to a visit by Rahul Gandhi, the general secretary of the All India Congress Committee (AICC).","12/09/2012: An explosive device detonated along a highway in Senapati district, Manipur state, India. The blast struck Border Security Forces (BSF), injuring two soldiers and damaging several vehicles. No group claimed responsibility for the incident.",
2012,Korbok,India,23.399772,91.752547,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),"The specific motive is unknown; however, according to sources, the victims were kidnapped by the National Liberation Front of Tripura (NLFT) after refusing to serve as informants and provide logistical support for the group.","12/17/2012: Assailants kidnapped four residents from Nibaranpara village, Korbok area, Tripura state, India. The victims were released on February 1, 2013, after a ransom was paid. The National Liberation Front of Tripura (NLFT) claimed responsibility for the incident.",
2012,Garhwa,India,24.108456,83.677393,Hostage Taking (Kidnapping),Business,Construction,Road Construction Equipment,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources noted that Maoists had banned construction in the area and had halted two earlier attempts at road construction.","12/26/2012: At least ten assailants on motorcycles set two earthmovers on fire at a road construction site in Garhwa district, Jharkhand state, India. There were no reported casualties resulting from the arson attack. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists.",
2012,Chandil,India,22.952885,86.059532,Hostage Taking (Kidnapping),Police,Police Security Forces/Officers,Officers,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources noted that the attack occurred on the same day as a 24-hour bandh called for by Maoists. Moreover, the source noted that just prior to the attack, Maoists chanted, ""Stop Operation Anakonda-II, CPI-Maoist zindabad.""","12/27/2012: Assailants opened fire and threw incendiary devices at police and civilian vehicles on a highway in Chandil city, Jharkhand state, India. There were no reported casualties; however, at least three trucks were damaged in the attack. No group claimed responsibility for the incident; however, the assailants shouted Maoist slogans calling for an end to Operation Anakonda-II.",
2013,Goripora,India,34.358352,74.433482,Hostage Taking (Kidnapping),Government (General),Politician or Political Party Movement/Meeting/Rally,Sarpanch: Habibullah Mir,Firearms,Handgun,Hizbul Mujahideen (HM),"The specific motive is unknown; however, sources note that the victim was an elected Panchayat and that several Panchayat had been receiving death threats asking them to resign their posts.","01/11/2013: An assailant opened fire on Habibullah Mir in Goripora village, Jammu and Kashmir, India. The victim, a sarpanch or village head, was killed in the attack. Officials attribute the incident to Hizbul Mujahideen (HM).",
2013,Hardshiva,India,34.374612,74.449661,Hostage Taking (Kidnapping),Government (General),Politician or Political Party Movement/Meeting/Rally,Panchayat Member: Zoona Begum,Firearms,Unknown Gun Type,Unknown,"The specific motive is unknown; however, sources note that the victim was an elected Panchayat and that several Panchayat had been receiving death threats asking them to resign their posts.","01/12/2013: Assailants opened fire on Zoona Begum at her private residence in Hardshiva village, Sopore town, Jammu and Kashmir, India. Begum, a panchayat or village head, was injured in the attack. No group claimed responsibility for the incident.",
2013,Satbarwa,India,23.926562,84.256204,Hostage Taking (Kidnapping),Police,"Police Building (headquarters, station, school)",Outpost,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, a source notes that the attack occurred just before the start of a two day bandh called for by Maoists in response to the arrest of two of the group's members.","01/12/2013: Assailants opened fire on the Satbarwa police post in Jharkhand, India. There were no reported casualties resulting from the ensuing firefight. No group claimed responsibility for the incident; however, officials attribute the incident to Maoists.",
2013,Imphal,India,24.797665,93.93855,Hostage Taking (Kidnapping),Military,Military Barracks/Base/Headquarters/Checkpost,Battalion Headquarters,Explosives/Bombs/Dynamite,Time Fuse,Coordination Committee (CORCOM),The Coordination Committee (CORCOM) claimed responsibility for the bombing in a press release and stated that the attack was part of an organized boycott by multiple revolutionary groups of Republic Day celebrations.  Sources note that revolutionary groups have also called for a general strike on January 26th in response to Republic Day celebrations.,"01/25/2013: An explosive device detonated on the grounds of the 1st Manipur Rifles battalion headquarters in Imphal, West Imphal, Manipur state, India. This is one of four bombings on the same day. No casualties were reported. Coordination Committee (CORCOM) claimed responsibility for the incident, stating that it was part of a boycott of Republic Day.",
