Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,,,,
1975,Samastipur,India,25.863042,85.781004,Bombing or Explosion,Government (General),"Government Personnel (excluding police, military)",Lalit Narayan Mishra and a legislator,Explosives/Bombs/Dynamite,Unknown Explosive Type,Ananda Marga,Unknown,"1/2/1975: The Indian Railway Minister, Lalit Narayan Mishra, was assassinated in Samastipur, Bihar, India.  A bomb exploded at a rally that he was holding in the region, wounding LN Mishra, a legislator and two guards.  All four died of their injuries.  While the group Ananda Marga has been suspected of being involved in the attack, there have been no claims of responsibility and no convictions of individuals.",,,,
1997,Unknown,India,33.778175,76.576171,Bombing or Explosion,Transportation,Bus Station/Stop,A bus station in Kashmir,Explosives/Bombs/Dynamite,Vehicle,Muslim Rebels,"Specific motive is unknown; however, the blast occurred while officials were meeting in New Delhi to discuss territorial disputes regarding the majority Muslim Himalayan region","3/29/1997: Two explosions occurred at a bus station in the vicinity of Kashmir, Jammu and Kashmir, India.  The first explosion happened on or near a bus while the second explosion originated at a motor scooter parked outside of the station.  Two additional bombs were also located and defused in the vicinity of the station.  Eighteen people were killed and at least 53 were injured; in addition to the bus station, ten shops in the area were also damaged.  No group claimed responsibility for the incident; however, officials blame Muslim rebels.",,,,
1997,Dhalai district,India,23.846698,91.909924,Bombing or Explosion,Military,Military Unit/Patrol/Convoy,Border Patrol Guards,Explosives/Bombs/Dynamite,Land Mine,National Liberation Front of Tripura (NLFT),"While the motive for this attack is unknown, there were a number of tribal groups active in this region who were attempting to establish their own ""homeland"".","11/7/1997: A suspected anti-tank land mine exploded beneath two trucks carrying border guards in Raishyabari Dhalai, India.  20 were killed.  It is unknown how many were wounded.  Of the 20 killed, 10 were civilians.  While civil authorities claimed the perpetrator was unknown, the arm stated that it was the National Liberation Front of Tipura.",,,,
1997,Hyderabad,India,17.376812,78.487812,Bombing or Explosion,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)","People leaving a party.  Wounded included Mohan Babu, a popular local movie star",Explosives/Bombs/Dynamite,Vehicle,Unknown,"While the motive for this attack is unknown, it is believed that it may have been due to a political rivalry involving Paritala Ravi.","11/19/1997: A car bomb exploded in Hyderabad in the province of Andhra Pradesh, India.  The explosion occurred outside of a movie premier, killed 23 people and wounded 31 others.  The extent of the property damage is unknown, however it is known that at least two cars were damaged.  The motives behind the attack are unclear and no one has ever claimed responsibility.",,,,
1998,New Delhi,India,28.632381,77.220004,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians in New Delhi,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"01/09/1998: At least 44 people were injured, two of them seriously, in a powerful bomb explosion in the central part of New Delhi, India. The blast occurred opposite the police headquarters in a small market between two government buildings. No one was killed in the attack, and no group claimed responsibility, but Islamic militants were suspected.",,,,
1998,Wandhama,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,Religion Identified,Hindu Civilians in Wandhama village,Melee,Knife or Other Sharp Object,Unknown,Unknown,01/25/1998: Suspected Islamic separatists slaughtered 23 Hindus and torched parts of the Himalayan village of Wandhama in Jammu and Kashmir State in India.,,,,
1998,Nalbari district,India,26.444619,91.441053,Armed Assault,Police,"Police Building (headquarters, station, school)",Bargela Police outpost,Firearms,Automatic Weapon,United Liberation Front of Assam (ULFA),Unknown,"02/04/1998: A group of United Liberation Front of Assam (ULFA) militants on motorcycles attacked the Bargela Police Outpost and opened fire, killing three police personnel in Assam, India. The number of injured was unknown.",,,,
1998,Coimbatore,India,11.016845,76.955832,Bombing or Explosion,Police,Police Security Forces/Officers,Indian Police in Coimbatore,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"02/14/1998: Six suspected militants were killed when a bomb that they were about to hurl at police exploded prematurely in Coimbatore, India. No one was injured in the attack.",,,,
1998,Coimbatore,India,11.016845,76.955832,Bombing or Explosion,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Bombing or Explosion,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes.No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
