Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary
2015,Ukhrul district,India,25.094532,94.361199,Unarmed Assault,Private Citizens & Property,Political Party Member/Rally,Brother in Law of Candidate: Daniel Nunglen,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),"The specific motive is unknown; however, sources posited that the attack was related to an extortion demand by the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM).","05/18/2015: Assailants abducted Daniel Nunglen from Ukhrul district, Manipur state, India. Nunglen, the brother-in-law of an Indian National Congress (INC) politician, was injured and released on May 19, 2015. No group claimed responsibility for the incident; however, sources attributed the attack to the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)."
2015,Gattepalli,India,19.413342,80.363921,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Melee,"Hands, Feet, Fists",Maoists,"The specific motive is unknown; however, sources posited that Maoists targeted the villagers for pulling tendu leaves without their approval.","05/19/2015: Assailants attacked civilians in Gattepalli village, Maharashtra state, India. An unknown number of villagers were injured in the attack. No group claimed responsibility for the incident; however, a source attributed the attack to Maoists."
2015,Kamjong,India,24.856503,94.511082,Unarmed Assault,Private Citizens & Property,Political Party Member/Rally,Office of Autonomous District Council (ADC) Candidate: Kapudang Ramshang,Explosives/Bombs/Dynamite,Grenade,Manipur Naga People's Army (MNPA),The Manipur Naga People's Army (MNPA) claimed responsibility for the incident and stated that the attack was carried out in response to alleged Naga People's Front operations.,"05/20/2015: Assailants threw a grenade at the office of a Naga People's Front (NPF) candidate in Kamjong area, Manipur state, India. No casualties were reported. The Manipur Naga People's Army (MNPA) claimed responsibility for the incident and stated that the attack was carried out in response to alleged Naga People's Front operations."
2015,Kalampur,India,19.19229,80.193086,Unarmed Assault,Police,Police Security Forces/Officers,Former Special Police Officer (SPO): Ravindra Sunki,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Ravindra Sunki was targeted because they believed he was a ""traitor.""","05/20/2015: Assailants abducted a former special forces police officer (SPO) in Kalampur town, Maharashtra state, India. The former officer was killed on May 21st, 2015. The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Ravindra Sunki was targeted because they believed he was a ""traitor."""
2015,Gondpal,India,18.883543,81.26437,Unarmed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Suspected Informant: Chittaranjan,Melee,Knife or Other Sharp Object,Maoists,"The specific motive is unknown; however, sources posited that Maoists targeted the victim because they believed he was a police informant.","05/25/2015: Assailants attacked a civilian residence in Gondpal village, Chhattisgarh state, India. One civilian was killed in the attack. Maoists claimed responsibility for the attack."
2015,Faraspal,India,18.939291,81.267797,Unarmed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Suspected Informant: Sukku Patel,Melee,Knife or Other Sharp Object,Maoists,"The specific motive is unknown; however, sources posited that Maoists targeted the victim because they believed he was a police informant.","05/25/2015: Assailants attacked a civilian residence in Faraspal village, Chhattisgarh state, India. One civilian was killed in the attack. Maoists claimed responsibility for the attack."
2015,Unknown,India,24.663717,93.906269,Unarmed Assault,Private Citizens & Property,Political Party Member/Rally,Candidate: Ngachonmi Chamroy,Unknown,0,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),"The specific motive is unknown; however, sources posited that the attack was related to an extortion demand by the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM).","05/27/2015: Assailants abducted Ngachonmi Chamroy in Manipur state, India. Chamroy, an Indian National Congress (INC) candidate, was released later the same day. No group claimed responsibility for the incident; however, sources attributed the attack to the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)."
2015,Bartala,India,24.342699,87.445176,Unarmed Assault,Business,Construction,Construction Site,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources posited that the Maoists may have carried out the attack because they wanted to prevent the construction of the bridge. Sources also suspected that the attack may have been related to an extortion demand by Maoists.","05/27/2015: Assailants threw incendiary devices at a construction site in Bartala village, Jharkhand state, India. No casualties were reported. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists."
2015,Phesama,India,25.626026,94.107888,Unarmed Assault,Military,Military Unit/Patrol/Convoy,Convoy,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Khaplang (NSCN-K),"The specific motive is unknown; however, sources suspected that the National Socialist Council of Nagaland-Khaplang (NSCN-K) carried out the attack in retaliation for recent arrests of its members.","05/29/2015: Assailants opened fire on an Assam Rifles convoy near Phesama village, Nagaland state, India. One soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the National Socialist Council of Nagaland-Khaplang (NSCN-K)."
2015,Ukhrul district,India,25.103432,94.359717,Unarmed Assault,Violent Political Party,Party Official/Candidate/Other Personnel,Ukhrul District President: Worthing Mahung,Unknown,0,Unknown,"The specific motive is unknown; however, sources suspected that the abduction was related to the Autonomous District Council (ADC) elections in India.","06/01/2015: Assailants abducted Worthing Mahung from Ukhrul district, Manipur state, India. The whereabouts of Mahung, the Ukhrul district Bharatiya Janata Party (BJP) president, were unknown. No group claimed responsibility for the attack."
2015,Srinagar,India,34.079936,74.808308,Unarmed Assault,Telecommunication,Telephone/Telegraph,Cell Phone Tower,Explosives/Bombs/Dynamite,Grenade,Lashkar-e-Islam (India),Lashkar-e-Islam (India) claimed responsibility for the incident and stated that they would attack mobile companies that refused to cease operations.,"06/01/2015: Assailants threw a grenade at mobile transmission tower in Gadood Bagh area, Habba Kadal neighborhood, Srinagar city, Jammu and Kashmir state, India. At least one civilian was wounded in the blast. Lashkar-e-Islam (India) claimed responsibility for the attack. Sources also suspected that the incident was carried out by Hizbul Mujahideen (HM), who denied any involvement."
2015,Muzaffarpur district,India,26.120888,85.36472,Unarmed Assault,Business,Construction,Construction Base Camp,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The specific motive is unknown; however, sources posited that the attack was related to an extortion demand by the Communist Party of India - Maoist (CPI-Maoist).","06/06/2015: Assailants set fire to road construction equipment in Muzaffarpur district, Bihar state, India. No one was injured, but several pieces of construction equipment were destroyed by the blaze. No group claimed responsibility; however, sources attributed the incident to Communist Party of India-Maoist (CPI-Maoist) members, who committed the act because a tax was not paid."
